OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
108047;5;3;14;0;2019;5;7;6;3;4;3;0;1;0;0;0;0;0;366303,597000001000000;5622040,718000000300000;7,105380922000052;50,734752331000038;1
108048;5;5;70;20;2019;5;16;4;3;5;6;0;1;1;0;0;0;0;429003,202282273210000;5746370,408747850000000;7,968940728000064;51,863603079000029;0
108050;5;7;66;20;2019;5;16;7;3;0;7;0;1;1;0;0;0;0;489640,035226062870000;5753133,407451544000000;8,849330069000075;51,928831376000062;0
108052;5;5;62;32;2019;5;10;5;3;5;3;0;1;0;0;0;0;1;375189,382142315620000;5719958,148900900000000;7,197226734000026;51,616797639000026;0
108053;5;5;62;14;2019;5;11;6;3;0;1;0;1;0;0;0;0;0;359922,891964078880000;5716673,142570806700000;6,978168192000055;51,583686865000061;0
108056;5;1;19;0;2019;5;12;6;2;0;3;0;1;1;0;0;0;0;351637,276393964890000;5704238,769889473900000;6,863900168000043;51,469838610000068;0
108058;5;5;66;92;2019;5;15;4;3;5;3;0;1;1;0;0;0;0;424261,191000000570000;5796533,409000001800000;7,888943173000030;52,313902117000055;0
108067;5;3;82;40;2019;5;23;6;3;6;6;2;1;0;1;0;0;0;382893,029659145510000;5637420,822472199800000;7,335451090000049;50,876586356000075;0
108068;5;5;58;36;2019;5;15;4;3;5;2;0;1;1;0;0;0;0;389298,979000000280000;5730159,082000002300000;7,397704011000030;51,711435131000030;0
108072;5;5;15;0;2019;5;14;4;3;3;6;0;1;0;0;0;0;0;405723,703470736740000;5753793,981215216200000;7,628923202000067;51,926882365000040;0
108081;5;5;62;16;2019;5;11;4;3;0;2;0;1;1;0;0;0;0;374715,720502677370000;5733907,252518527200000;7,185383494000064;51,742052316000070;0
