OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
205646;5200419508000776384;5;1;19;0;2020;4;12;1;3;1;5;0;1;1;0;0;0;0;350487,296500000170000;5709882,561899999200000;6,844964447000052;51,520247535000067;0
205647;5200417610111345525;5;3;70;16;2020;4;21;6;3;9;1;2;1;0;0;0;0;0;296348,114500000140000;5661645,119999999200000;6,093073068000024;51,070139510000047;0
205648;5200415313110571240;5;9;58;4;2020;4;10;4;3;0;1;0;1;0;0;0;0;0;426787,663999999870000;5701059,069800000600000;7,946262645000047;51,455970245000060;0
205649;5200417702100460669;5;5;15;0;2020;4;16;6;3;3;6;0;1;1;0;0;0;0;404729,544999999930000;5754310,873999999800000;7,614326419000065;51,931359166000050;0
205652;5200419400200070263;5;7;11;0;2020;4;19;1;3;1;1;0;1;1;0;0;0;0;470147,469999999740000;5763937,948799999400000;8,564906299000029;52,025268008000069;0
205653;5200415310110673442;5;9;54;16;2020;4;12;4;2;0;1;0;1;0;0;0;0;0;371257,423299999910000;5694677,723200000800000;7,149691814000050;51,388716698000053;0
205654;5200416601610381203;5;3;15;0;2020;4;17;5;3;1;5;0;1;1;0;0;0;0;361094,170500000010000;5644314,675100000600000;7,023162087000060;50,933715318000054;0
205655;5200418502100962138;5;1;13;0;2020;4;14;7;3;0;7;0;1;0;0;0;0;0;361978,444400000390000;5701970,822699999400000;7,013575883000044;51,452074939000056;1
205656;5200419502402586208;5;1;17;0;2020;4;19;1;3;3;6;0;1;0;0;0;0;0;353053,253899999890000;5699979,468599999300000;6,886041194000029;51,431935402000079;0
205657;5200416411220217204;5;7;74;20;2020;4;14;5;2;0;1;0;1;0;0;0;0;0;470049,337500000370000;5734782,587700000000000;8,566008747000069;51,763130907000061;0
205659;5200415301103010100;5;9;13;0;2020;4;11;4;3;5;2;0;1;1;0;0;0;0;391588,375000000000000;5703685,446000000500000;7,439006834000054;51,473931194000045;0
205661;5200415709110247851;5;5;66;8;2020;4;11;4;3;5;7;0;1;1;0;0;0;0;399926,461799999700000;5780385,345499999800000;7,536855724000077;52,164872780000053;0
205662;5200418702100942451;5;5;15;0;2020;4;12;7;3;5;3;0;1;0;0;0;0;0;409105,447599999610000;5753893,661900000600000;7,678063770000051;51,928340826000067;0
205663;5200416600380743207;5;3;14;0;2020;4;10;5;3;5;3;0;1;0;0;0;0;1;369063,434999999590000;5617044,720000000700000;7,146241187000044;50,690475897000056;0
205664;5200417411132876191;5;7;74;32;2020;4;19;6;2;0;1;0;1;0;0;0;0;0;483313,172199999910000;5729394,372199999200000;8,758460304000039;51,715236384000036;0
205665;5200415709100352201;5;5;66;64;2020;4;19;4;3;8;1;0;1;0;0;0;0;0;398803,522900000210000;5774037,310799999200000;7,522332929000072;52,107613472000082;0
205669;5200419500300402363;5;1;11;0;2020;4;17;1;3;3;1;0;1;0;0;0;0;0;346535,720800000240000;5672196,328700000400000;6,804304536000075;51,180565610000031;0
205670;5200417601210707207;5;3;15;0;2020;4;12;6;3;5;2;0;1;1;0;0;0;0;354801,816899999980000;5641467,135600000600000;6,934806937000076;50,906575349000036;0
205673;5200415702100757476;5;5;15;0;2020;4;15;4;2;0;7;0;1;0;0;0;0;0;410092,052699999880000;5761668,943000000000000;7,690372964000062;51,998390474000075;0
205674;5200418610121080723;5;3;70;12;2020;4;14;7;3;4;1;0;1;1;0;0;0;0;300995,018799999730000;5653812,073999999100000;6,163616427000022;51,001417583000034;0
205679;5200417515212044821;5;1;54;64;2020;4;8;6;3;5;3;0;1;0;0;1;0;0;306143,942699999550000;5723548,706900000600000;6,198997360000021;51,629508064000049;0
205680;5200418317110575376;5;9;78;36;2020;4;20;7;3;0;1;1;1;0;0;0;0;0;407030,376400000420000;5710769,652699999500000;7,659413929000039;51,540361461000032;1
205682;5200414709000462076;5;5;66;76;2020;4;12;3;3;0;6;0;1;0;0;0;0;0;393676,076999999580000;5793437,859999999400000;7,441403716000025;52,281010998000056;0
205687;5200419601300976460;5;3;15;0;2020;4;9;1;3;0;1;0;1;0;0;0;0;0;352388,484500000250000;5646579,653300000400000;6,898435754000047;50,951907283000025;0
205693;5200416607400936846;5;3;82;68;2020;4;14;5;2;4;6;0;1;0;0;0;0;0;367875,637900000440000;5631782,235300000800000;7,124144927000032;50,822669099000052;0
205694;5200414701300543205;5;5;62;14;2020;4;20;3;3;1;5;1;1;1;0;0;0;0;360787,282899999990000;5714657,156400000700000;6,991435216000070;51,565785236000067;0
205695;5200416702100612200;5;5;15;0;2020;4;16;5;3;0;7;0;1;0;1;0;0;0;398487,422799999830000;5753505,676599999900000;7,523806119000028;51,923018533000061;0
205697;5200419514215994204;5;1;66;28;2020;4;4;1;2;0;1;2;1;0;0;0;0;0;325776,758799999950000;5688544,242200000200000;6,499621946000048;51,321480066000049;0
205699;5200417700100652202;5;5;13;0;2020;4;18;6;2;1;5;0;1;1;0;0;0;0;368624,365199999880000;5707591,732699999600000;7,107076803000041;51,504170307000038;0
205700;5200414700200499205;5;5;13;0;2020;4;17;3;3;5;3;0;1;1;0;0;0;0;362771,139800000000000;5710985,446599999400000;7,021472139000025;51,533276472000068;0
205704;5200416601420284208;5;3;15;0;2020;4;16;5;3;0;1;0;1;0;0;0;0;0;356703,611299999990000;5648390,441299999100000;6,959115400000030;50,969269557000075;0
205706;5200419501212782277;5;1;12;0;2020;4;16;1;3;0;2;0;1;0;0;1;0;0;338930,963000000450000;5697989,071000000500000;6,683954712000059;51,410214652000036;0
205709;5200419503400674193;5;1;22;0;2020;4;15;1;3;0;7;0;1;1;0;0;0;0;366408,359699999910000;5669396,545399999200000;7,089491211000052;51,160392757000068;0
205710;5200417608436977202;5;3;34;36;2020;4;14;6;3;3;6;0;1;0;0;0;0;1;302614,553999999540000;5635401,129200000300000;6,196631264000075;50,836611711000046;0
205713;5200415701920767207;5;5;62;28;2020;4;16;4;3;0;1;0;1;0;0;0;0;0;378887,885999999940000;5721319,132999999400000;7,250150377000068;51,629837208000026;0
205714;5200418706000365763;5;5;58;32;2020;4;16;7;2;5;3;0;1;1;0;0;0;0;386299,934700000100000;5754721,630699999600000;7,346249670000020;51,931591281000067;0
